date,rainfall
20250101,0.0
20250102,0.0
20250103,0.0
20250104,0.0
20250105,0.0
20250106,0.0
20250107,0.0
20250108,0.0
20250109,0.0
20250110,0.0
20250111,0.0
20250112,0.0
20250113,0.0
20250114,0.0
20250115,0.0
20250116,0.0
20250117,0.0
20250118,0.0
20250119,0.0
20250120,0.0
20250121,0.0
20250122,0.0
20250123,0.0
20250124,0.0
20250125,0.0
20250126,0.0
20250127,0.0
20250128,0.0
20250129,0.0
20250130,0.0
20250131,0.0
20250201,0.0
20250202,0.0
20250203,0.0
20250204,0.0
20250205,0.0
20250206,0.0
20250207,0.0
20250208,0.0
20250209,0.0
20250210,0.0
20250211,0.0
20250212,0.0
20250213,0.0
20250214,0.0
20250215,0.0
20250216,0.0
20250217,0.0
20250218,0.0
20250219,0.0
20250220,0.0
20250221,0.0
20250222,0.0
20250223,0.0
20250224,0.0
20250225,0.0
20250226,0.05
20250227,0.0
20250228,0.07
20250301,0.0
20250302,0.0
20250303,0.0
20250304,0.0
20250305,0.0
20250306,0.0
20250307,0.0
20250308,0.0
20250309,0.0
20250310,0.0
20250311,0.0
20250312,0.0
20250313,0.0
20250314,0.0
20250315,0.0
20250316,0.0
20250317,0.0
20250318,0.0
20250319,0.0
20250320,0.0
20250321,0.0
20250322,0.0
20250323,0.0
20250324,0.0
20250325,0.0
20250326,0.0
20250327,0.0
20250328,0.0
20250329,0.0
20250330,0.0
20250331,0.0
20250401,0.0
20250402,0.0
20250403,0.0
20250404,0.0
20250405,0.0
20250406,0.0
20250407,0.0
20250408,0.02
20250409,0.0
20250410,0.0
20250411,0.0
20250412,0.0
20250413,0.0
20250414,0.0
20250415,0.0
20250416,0.0
20250417,0.0
20250418,0.0
20250419,0.0
20250420,0.0
20250421,0.0
20250422,0.0
20250423,0.0
20250424,0.0
20250425,0.0
20250426,0.0
20250427,0.0
20250428,0.0
20250429,0.0
20250430,0.0
20250501,0.0
20250502,0.0
20250503,0.0
20250504,0.0
20250505,0.0
20250506,0.0
20250507,0.0
20250508,0.0
20250509,0.0
20250510,0.0
20250511,0.0
